"Title","Year","Length","Budget","Rating","Votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Cold Around the Heart",1997,96,-1,3.8,407,34.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cold Creek Manor",2003,118,-1,4.8,3498,14.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cold Harvest",1998,89,-1,4.8,90,14.5,4.5,14.5,4.5,14.5,4.5,14.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Cold Heart",2001,95,3e+06,4.1,140,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cold Hearts",1999,90,9e+05,3.9,131,14.5,4.5,4.5,14.5,4.5,4.5,14.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Cold Mountain",2003,152,8.3e+07,7.4,15712,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Coldblooded",1995,92,-1,6.6,872,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",1,0,1,0,0,0,0
"Collateral",2004,120,6.5e+07,7.7,24499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Collateral Damage",2002,108,8.5e+07,5.2,8590,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Collectors, The",1999,90,-1,3.8,125,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Colorz of Rage",1999,90,-1,2.6,21,34.5,4.5,4.5,4.5,4.5,4.5,0,0,0,34.5,"R",0,0,0,1,0,0,0
"Comedian Harmonists",1997,126,-1,7.3,939,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"Comfortably Numb",1995,100,-1,4.5,18,24.5,14.5,4.5,14.5,14.5,14.5,0,4.5,0,4.5,"NC-17",0,0,0,1,0,0,0
"Commandments",1997,88,5e+06,5.4,468,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Comme une image",2004,110,-1,7.3,924,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,1,1,0,1,0
"Committed",2000,98,3e+06,5.2,739,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Company Man",2000,86,1.6e+07,4.8,492,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Company, The",2003,112,1.5e+07,6.2,1505,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"Complicity",2000,99,-1,5.6,160,4.5,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Comunidad, La",2000,110,2e+06,7.2,1270,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"Coneheads",1993,88,-1,4.9,5249,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Confession, The",1999,114,4e+06,5.8,519,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Confessions of a Dangerous Mind",2002,113,2.9e+07,7.1,11487,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Confessions of a Teenage Drama Queen",2004,89,1.5e+07,4.4,2205,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Confidence",2003,97,1.5e+07,6.8,6168,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Confidences trop intimes",2004,104,-1,7,751,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Congo",1995,109,5e+07,4.4,8058,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Connie and Carla",2004,98,-1,6.1,1367,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Consequence",2003,97,-1,4.5,104,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Conspiracy Theory",1997,135,7.5e+07,6.4,15470,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Contact",1997,153,9e+07,7.3,36390,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",0,0,0,1,0,0,0
"Contaminated Man, The",2000,100,-1,4.6,300,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Conte d'automne",1998,112,-1,7.1,855,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,"PG",0,0,0,0,0,1,0
"Contender, The",2000,126,9e+06,6.9,7023,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Contract, The",2000,42,-1,4.2,6,14.5,14.5,14.5,0,14.5,0,34.5,0,0,0,"R",0,0,0,0,0,0,1
"Controlled Chaos",2003,93,-1,5.1,11,14.5,0,0,24.5,0,0,0,24.5,4.5,14.5,"R",0,0,1,1,0,0,0
"Controvento",2000,98,-1,5.4,25,4.5,0,14.5,14.5,24.5,4.5,24.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Convent, The",2000,84,-1,4.8,629,14.5,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Convergence",1999,93,-1,4.3,212,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cookers",2001,96,-1,8.6,22,0,4.5,4.5,0,4.5,0,0,14.5,14.5,45.5,"R",0,0,0,1,0,0,0
"Cookie's Fortune",1999,118,-1,6.9,4727,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,1,1,0,0,0
"Cookout, The",2004,97,-1,3.2,368,34.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Cool, Dry Place, A",1998,97,-1,6.3,725,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"Cooler, The",2003,101,-1,7,6329,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Cop Land",1997,116,1.5e+07,6.7,12677,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Copycat",1995,123,2e+07,6.5,7804,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cord",2000,100,-1,5.3,384,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Core, The",2003,135,7.4e+07,5.4,7860,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Corky Romano",2001,86,1.1e+07,4.6,2463,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Coronado",2003,88,4700000,4.5,411,4.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Corporate Fantasy",1999,86,-1,3.1,46,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Corporate Ladder, The",1997,112,-1,4.6,72,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Corpse, The",1970,91,-1,3.6,73,14.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Corruptor, The",1999,99,-1,5.5,4312,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Cosi",1996,103,-1,6.8,536,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"Cotton Mary",1999,124,3500000,5.3,164,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Count Yorga, Vampire",1970,90,-1,5.4,278,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,0,0,0,0
"Count of Monte Cristo, The",2002,134,3.5e+07,7.4,13907,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"Counter Measures",1999,90,-1,3.7,119,14.5,14.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Country Life",1994,114,-1,6.2,280,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"PG-13",0,0,0,1,0,1,0
"Country of My Skull",2004,104,1.2e+07,5.1,194,14.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Courage Under Fire",1996,117,4.6e+07,6.7,8884,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Cousin Bette",1998,108,-1,6.2,628,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Cover Me",1995,94,-1,3.5,79,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Cover Story",2002,92,-1,3.5,64,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Cowboy Up",2001,105,-1,5.3,143,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,1,0
"Cowboys and Angels",2000,97,-1,6.5,83,0,4.5,4.5,0,4.5,14.5,14.5,24.5,14.5,14.5,"PG",0,0,0,0,0,1,0
"Coyote Run",1996,101,-1,3.9,37,24.5,14.5,14.5,14.5,4.5,24.5,4.5,4.5,0,4.5,"R",0,0,0,0,0,0,0
"Coyote Ugly",2000,100,4.5e+07,5.4,13221,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Crack in the Floor, A",2000,90,-1,2.5,199,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Crackerjack 2",1996,96,-1,2.7,69,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Crackerjack 3",2000,97,-1,4.8,29,24.5,0,14.5,4.5,14.5,4.5,0,4.5,4.5,34.5,"PG-13",1,0,0,0,0,0,0
"Cradle 2 the Grave",2003,101,2.5e+07,5.3,4164,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Cradle Will Rock",1999,132,3.2e+07,6.7,3375,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Craft, The",1996,101,1.5e+07,5.9,9187,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Crash",2004,113,6500000,8.3,1660,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,45.5,"R",0,0,0,1,0,0,0
"Crash Point Zero",2000,89,-1,2.8,97,34.5,14.5,14.5,14.5,4.5,4.5,0,0,4.5,14.5,"R",1,0,0,0,0,0,0
"Crazy Six",1998,94,-1,1.9,273,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Crazy as Hell",2002,113,-1,5.5,174,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Crazy in Alabama",1999,111,1.5e+07,6.1,2086,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,"PG-13",0,0,1,1,0,0,0
"Crazy/Beautiful",2001,135,1.4e+07,6.5,4503,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"Crazysitter, The",1995,92,-1,3.8,79,4.5,14.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,1,0,0,0
"Creeps, The",1997,80,-1,3.2,107,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Crew, The",2000,84,2.3e+07,5.3,1297,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Crier, The",1995,78,250000,3.3,12,34.5,14.5,4.5,4.5,4.5,0,0,14.5,0,4.5,"R",0,0,0,0,0,0,0
"Crime Partners 2000",2001,102,250000,4.4,57,14.5,14.5,4.5,0,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Crime Spree",2003,98,1e+07,6.3,953,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Crime and Punishment in Suburbia",2000,98,-1,5.8,873,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Crimebroker",1993,93,-1,4.6,49,4.5,0,14.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Crimen del padre Amaro, El",2002,118,1800000,7,2469,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Crimetime",1996,118,-1,3,359,45.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Criminal",2004,87,-1,6.4,762,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Criminal Hearts",1995,92,-1,4.8,74,4.5,4.5,4.5,24.5,14.5,4.5,14.5,4.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Criminal Minds",1998,88,-1,6.5,6,14.5,0,0,14.5,0,0,14.5,0,45.5,0,"R",1,0,0,0,0,0,0
"Criminal, The",1999,99,-1,5.5,152,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"R",1,0,0,1,0,0,0
"Crimson Tide",1995,116,5.3e+07,7.1,14033,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,1,0,0,0
"Critical Care",1997,107,1.2e+07,5.8,397,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Critical Mass",2000,92,-1,4.1,86,24.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,14.5,"R",1,0,0,1,0,0,0
"Crna macka, beli macor",1998,123,-1,7.6,4613,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"R",0,0,1,0,0,1,0
"Crocodile 2: Death Swamp",2002,89,-1,3.6,249,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Crocodile Dundee in Los Angeles",2001,92,2.5e+07,4.7,2698,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"Crocodile Hunter: Collision Course, The",2002,90,1.3e+07,5.3,1648,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Crosscut",1996,98,-1,5.5,43,4.5,4.5,4.5,4.5,4.5,34.5,24.5,4.5,4.5,14.5,"R",1,0,0,1,0,0,0
"Crossing Guard, The",1995,111,-1,6.3,2269,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Crossplot",1969,96,1e+06,4.1,49,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,0,14.5,"PG-13",0,0,0,0,0,0,0
"Crossroads",2002,93,1.2e+07,3.1,8546,44.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Crossworlds",1996,90,-1,5.1,496,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Crow: City of Angels, The",1996,84,1.3e+07,3.8,3656,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Crow: Salvation, The",2000,102,2.5e+07,4.9,1383,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,0,1,0,0,0
"Crude Oasis, The",1995,92,-1,5.6,35,4.5,0,4.5,14.5,14.5,4.5,14.5,24.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Cruel Intentions",1999,97,1.1e+07,6.5,25634,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Cry of the Banshee",1970,87,5e+05,4.6,180,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cry, the Beloved Country",1995,106,-1,6.4,387,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Crying Game, The",1992,112,-1,7.3,9524,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Cube",1997,90,-1,7.4,16205,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,0,0,0,0
"Cube 2: Hypercube",2002,95,-1,5.6,4536,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cube Zero",2004,97,-1,5.7,1570,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cupid",1997,95,-1,4.1,96,4.5,14.5,4.5,14.5,24.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Curdled",1996,88,2309723,5.5,959,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Cure for Boredom, The",2000,87,-1,4.4,21,14.5,0,14.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,1,0,0,0,0
"Cure, The",1995,97,-1,6.9,1568,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"PG-13",0,0,0,1,0,0,0
"Curse of the Forty-Niner",2003,86,-1,3,99,24.5,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Curse of the Jade Scorpion, The",2001,103,2.6e+07,6.8,5846,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0
"Curse of the Puppet Master",1998,77,250000,2.7,267,24.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Curse of the Starving Class",1994,102,-1,2.6,370,45.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Cursed",2005,97,3.5e+07,4.7,1277,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Cut",2000,98,-1,4.2,868,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Cutaway",2000,104,9e+06,5.1,390,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Cutthroat Island",1995,119,9.2e+07,5.1,3942,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,1,0
"Cyber-Tracker 2",1995,97,-1,3.1,67,24.5,24.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Cyberella: Forbidden Passions",1996,87,-1,2.7,40,14.5,14.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,1,0
"Cyberjack",1995,99,-1,3.7,106,14.5,14.5,24.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Cyborg 3: The Recycler",1994,90,-1,3.5,110,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Cyborg Cop III",1995,94,-1,2.9,37,34.5,14.5,4.5,14.5,4.5,4.5,14.5,4.5,0,4.5,"R",1,0,0,0,0,0,0
"Cypher",2002,95,7500000,7.2,3160,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,0,0,0,0
"Cypress Edge",1999,90,-1,2.9,37,14.5,24.5,14.5,14.5,14.5,4.5,4.5,4.5,0,4.5,"R",0,0,0,1,0,0,0
"D-Tox",2002,92,5.5e+07,4.7,2742,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"D.E.B.S.",2004,91,3500000,6,300,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"PG-13",1,0,1,0,0,0,0
"D3: The Mighty Ducks",1996,104,-1,4.2,2276,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"PG",0,0,1,0,0,0,0
"Da wan",2001,100,-1,6,259,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG",0,0,1,0,0,0,0
"Dad Savage",1998,104,-1,5.9,110,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Daddy Day Care",2003,92,6e+07,5.7,3803,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Daddy and Them",2001,101,4e+06,5,364,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Dagon",2001,97,4800000,6,1549,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Dahan",1997,145,-1,8,10,0,0,0,14.5,0,0,14.5,34.5,45.5,0,"R",0,0,0,1,0,0,0
"Dahmer",2002,101,-1,5.4,971,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Dak miu mai shing",2001,87,-1,5.8,1429,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Dallas 362",2003,100,-1,6.4,46,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,0,1,0,0,0
"Damned, The",2001,90,30000,2.2,22,44.5,14.5,0,0,0,0,4.5,4.5,0,34.5,"R",0,0,0,0,0,0,0
"Dance Me Outside",1995,84,-1,6.9,286,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Dancer Upstairs, The",2002,133,-1,7,1585,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Dancer in the Dark",2000,140,-1,7.8,15686,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"R",0,0,0,1,0,0,0
"Dancer, Texas Pop. 81",1998,97,-1,6.6,941,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"PG",0,0,1,1,0,0,0
"Dancing at Lughnasa",1998,95,-1,6.2,833,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG",0,0,0,1,0,0,0
"Dancing at the Blue Iguana",2000,126,-1,5.8,778,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Dancing in September",2000,102,850000,6.4,166,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Dang doi lai ming",1983,100,-1,7,137,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Dangerous Beauty",1998,111,-1,7,2714,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,1,0
"Dangerous Lives of Altar Boys, The",2002,105,1.2e+07,7.2,3274,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Dangerous Minds",1995,99,-1,5.7,6177,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Dangerous Prey",1995,93,-1,3.5,74,14.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Danny Deckchair",2003,90,-1,6.5,643,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Dante's Peak",1997,104,1.04e+08,5.6,9203,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Dante's View",1998,85,-1,4.2,20,14.5,14.5,14.5,14.5,14.5,24.5,14.5,14.5,4.5,0,"R",0,0,0,0,0,0,0
"Dare mo shiranai",2004,141,-1,8.2,850,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,24.5,"PG-13",0,0,0,1,0,0,0
"Daredevil",2003,133,7.5e+07,5.7,20642,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Dark Asylum",2001,83,-1,3.7,202,24.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Dark Blue",2002,118,1.5e+07,6.6,3882,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Dark Breed",1996,104,-1,4.2,85,4.5,14.5,24.5,14.5,24.5,14.5,4.5,0,4.5,0,"R",0,0,0,0,0,0,0
"Dark Confessions",1998,92,-1,3.8,20,14.5,0,34.5,4.5,14.5,4.5,0,14.5,4.5,24.5,"R",1,0,0,1,0,0,0
