,X,Month,CrimeType ,CrimeDetails,CrimeCount,Borough
974,974,201104,Theft & Handling,Theft From Motor Vehicle,111,Sutton
975,975,201104,Criminal Damage,Criminal Damage To Motor Vehicle,71,Sutton
976,976,201104,Drugs,Drug Trafficking,1,Sutton
977,977,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,25,Sutton
978,978,201104,Violence Against The Person,Harassment,31,Sutton
979,979,201104,Robbery,Personal Property,20,Sutton
980,980,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,19,Sutton
981,981,201104,Theft & Handling,Other Theft,162,Sutton
982,982,201104,Drugs,Possession Of Drugs,30,Sutton
983,983,201104,Sexual Offences,Rape,6,Sutton
984,984,201104,Theft & Handling,Handling Stolen Goods,2,Sutton
985,985,201104,Other Notifiable Offences,Going Equipped,2,Sutton
986,986,201104,Theft & Handling,Motor Vehicle Interference & Tampering,4,Sutton
987,987,201104,Fraud & Forgery,Counted Per Victim,25,Sutton
988,988,201105,Sexual Offences,Rape,4,Kensington and Chelsea
989,989,201105,Fraud & Forgery,Counted Per Victim,43,Kensington and Chelsea
990,990,201105,Theft & Handling,Theft From Shops,191,Kensington and Chelsea
991,991,201105,Theft & Handling,Other Theft,457,Kensington and Chelsea
992,992,201105,Theft & Handling,Motor Vehicle Interference & Tampering,9,Kensington and Chelsea
993,993,201105,Theft & Handling,Theft From Motor Vehicle,149,Kensington and Chelsea
994,994,201105,Drugs,Possession Of Drugs,115,Kensington and Chelsea
995,995,201105,Violence Against The Person,Harassment,87,Kensington and Chelsea
996,996,201105,Other Notifiable Offences,Going Equipped,1,Kensington and Chelsea
997,997,201105,Criminal Damage,Criminal Damage To Dwelling,28,Kensington and Chelsea
998,998,201105,Criminal Damage,Other Criminal Damage,24,Kensington and Chelsea
999,999,201105,Violence Against The Person,Assault With Injury,97,Kensington and Chelsea
1000,1000,201105,Burglary,Burglary In Other Buildings,65,Kensington and Chelsea
1001,1001,201105,Sexual Offences,Other Sexual,9,Kensington and Chelsea
1002,1002,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,58,Kensington and Chelsea
1003,1003,201105,Theft & Handling,Handling Stolen Goods,6,Kensington and Chelsea
1004,1004,201105,Fraud & Forgery,Other Fraud & Forgery,26,Kensington and Chelsea
1005,1005,201105,Theft & Handling,Theft Person,120,Kensington and Chelsea
1006,1006,201105,Criminal Damage,Criminal Damage To Motor Vehicle,41,Kensington and Chelsea
1007,1007,201105,Drugs,Drug Trafficking,4,Kensington and Chelsea
1008,1008,201105,Burglary,Burglary In A Dwelling,113,Kensington and Chelsea
1009,1009,201105,Robbery,Business Property,5,Kensington and Chelsea
1010,1010,201105,Robbery,Personal Property,55,Kensington and Chelsea
1011,1011,201105,Violence Against The Person,Offensive Weapon,9,Kensington and Chelsea
1012,1012,201105,Criminal Damage,Criminal Damage To Other Building,17,Kensington and Chelsea
1013,1013,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,100,Kensington and Chelsea
1014,1014,201105,Violence Against The Person,Other Violence,6,Kensington and Chelsea
1015,1015,201105,Other Notifiable Offences,Other Notifiable,23,Kensington and Chelsea
1016,1016,201105,Violence Against The Person,Common Assault,84,Kensington and Chelsea
1017,1017,201105,Violence Against The Person,Wounding/GBH,4,Kensington and Chelsea
1018,1018,201105,Theft & Handling,Motor Vehicle Interference & Tampering,1,Westminster
1019,1019,201105,Violence Against The Person,Harassment,166,Westminster
1020,1020,201105,Criminal Damage,Other Criminal Damage,53,Westminster
1021,1021,201105,Violence Against The Person,Other Violence,43,Westminster
1022,1022,201105,Fraud & Forgery,Counted Per Victim,91,Westminster
1023,1023,201105,Violence Against The Person,Assault With Injury,230,Westminster
1024,1024,201105,Burglary,Burglary In Other Buildings,216,Westminster
1025,1025,201105,Fraud & Forgery,Other Fraud & Forgery,77,Westminster
1026,1026,201105,Theft & Handling,Theft From Shops,444,Westminster
1027,1027,201105,Burglary,Burglary In A Dwelling,86,Westminster
1028,1028,201105,Theft & Handling,Handling Stolen Goods,9,Westminster
1029,1029,201105,Drugs,Drug Trafficking,18,Westminster
1030,1030,201105,Theft & Handling,Theft Person,678,Westminster
1031,1031,201105,Criminal Damage,Criminal Damage To Dwelling,35,Westminster
1032,1032,201105,Other Notifiable Offences,Other Notifiable,69,Westminster
1033,1033,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,70,Westminster
1034,1034,201105,Criminal Damage,Criminal Damage To Motor Vehicle,64,Westminster
1035,1035,201105,Violence Against The Person,Wounding/GBH,34,Westminster
1036,1036,201105,Other Notifiable Offences,Going Equipped,6,Westminster
1037,1037,201105,Violence Against The Person,Offensive Weapon,20,Westminster
1038,1038,201105,Theft & Handling,Other Theft,1742,Westminster
1039,1039,201105,Theft & Handling,Theft From Motor Vehicle,252,Westminster
1040,1040,201105,Sexual Offences,Rape,13,Westminster
1041,1041,201105,Criminal Damage,Criminal Damage To Other Building,41,Westminster
1042,1042,201105,Violence Against The Person,Common Assault,184,Westminster
1043,1043,201105,Drugs,Other Drugs,3,Westminster
1044,1044,201105,Drugs,Possession Of Drugs,727,Westminster
1045,1045,201105,Sexual Offences,Other Sexual,31,Westminster
1046,1046,201105,Robbery,Business Property,9,Westminster
1047,1047,201105,Robbery,Personal Property,237,Westminster
1048,1048,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,174,Westminster
1049,1049,201105,Theft & Handling,Theft Person,406,Camden
1050,1050,201105,Burglary,Burglary In Other Buildings,160,Camden
1051,1051,201105,Violence Against The Person,Offensive Weapon,13,Camden
1052,1052,201105,Drugs,Other Drugs,1,Camden
1053,1053,201105,Criminal Damage,Criminal Damage To Motor Vehicle,80,Camden
1054,1054,201105,Criminal Damage,Criminal Damage To Other Building,20,Camden
1055,1055,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,77,Camden
1056,1056,201105,Theft & Handling,Handling Stolen Goods,8,Camden
1057,1057,201105,Other Notifiable Offences,Other Notifiable,34,Camden
1058,1058,201105,Sexual Offences,Rape,9,Camden
1059,1059,201105,Violence Against The Person,Common Assault,119,Camden
1060,1060,201105,Drugs,Drug Trafficking,21,Camden
1061,1061,201105,Theft & Handling,Theft From Motor Vehicle,236,Camden
1062,1062,201105,Theft & Handling,Theft From Shops,144,Camden
1063,1063,201105,Robbery,Personal Property,146,Camden
1064,1064,201105,Violence Against The Person,Other Violence,17,Camden
1065,1065,201105,Burglary,Burglary In A Dwelling,183,Camden
1066,1066,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,177,Camden
1067,1067,201105,Violence Against The Person,Assault With Injury,171,Camden
1068,1068,201105,Criminal Damage,Criminal Damage To Dwelling,54,Camden
1069,1069,201105,Violence Against The Person,Harassment,150,Camden
1070,1070,201105,Fraud & Forgery,Other Fraud & Forgery,40,Camden
1071,1071,201105,Criminal Damage,Other Criminal Damage,46,Camden
1072,1072,201105,Drugs,Possession Of Drugs,168,Camden
1073,1073,201105,Sexual Offences,Other Sexual,30,Camden
1074,1074,201105,Fraud & Forgery,Counted Per Victim,63,Camden
1075,1075,201105,Robbery,Business Property,3,Camden
1076,1076,201105,Violence Against The Person,Wounding/GBH,22,Camden
1077,1077,201105,Violence Against The Person,Murder,1,Camden
1078,1078,201105,Theft & Handling,Other Theft,728,Camden
1079,1079,201105,Other Notifiable Offences,Going Equipped,2,Camden
1080,1080,201105,Theft & Handling,Motor Vehicle Interference & Tampering,21,Camden
1081,1081,201105,Violence Against The Person,Other Violence,16,Hammersmith and Fulham
1082,1082,201105,Theft & Handling,Theft Person,99,Hammersmith and Fulham
1083,1083,201105,Burglary,Burglary In Other Buildings,66,Hammersmith and Fulham
1084,1084,201105,Violence Against The Person,Assault With Injury,108,Hammersmith and Fulham
1085,1085,201105,Burglary,Burglary In A Dwelling,173,Hammersmith and Fulham
1086,1086,201105,Fraud & Forgery,Other Fraud & Forgery,12,Hammersmith and Fulham
1087,1087,201105,Criminal Damage,Other Criminal Damage,34,Hammersmith and Fulham
1088,1088,201105,Criminal Damage,Criminal Damage To Dwelling,36,Hammersmith and Fulham
1089,1089,201105,Violence Against The Person,Harassment,113,Hammersmith and Fulham
1090,1090,201105,Other Notifiable Offences,Other Notifiable,17,Hammersmith and Fulham
1091,1091,201105,Theft & Handling,Theft From Shops,137,Hammersmith and Fulham
1092,1092,201105,Criminal Damage,Criminal Damage To Other Building,20,Hammersmith and Fulham
1093,1093,201105,Theft & Handling,Theft From Motor Vehicle,280,Hammersmith and Fulham
1094,1094,201105,Violence Against The Person,Wounding/GBH,22,Hammersmith and Fulham
1095,1095,201105,Theft & Handling,Motor Vehicle Interference & Tampering,13,Hammersmith and Fulham
1096,1096,201105,Theft & Handling,Other Theft,308,Hammersmith and Fulham
1097,1097,201105,Other Notifiable Offences,Going Equipped,5,Hammersmith and Fulham
1098,1098,201105,Fraud & Forgery,Counted Per Victim,25,Hammersmith and Fulham
1099,1099,201105,Violence Against The Person,Common Assault,106,Hammersmith and Fulham
1100,1100,201105,Violence Against The Person,Offensive Weapon,9,Hammersmith and Fulham
1101,1101,201105,Theft & Handling,Handling Stolen Goods,6,Hammersmith and Fulham
1102,1102,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,74,Hammersmith and Fulham
1103,1103,201105,Criminal Damage,Criminal Damage To Motor Vehicle,87,Hammersmith and Fulham
1104,1104,201105,Drugs,Drug Trafficking,3,Hammersmith and Fulham
1105,1105,201105,Violence Against The Person,Murder,1,Hammersmith and Fulham
1106,1106,201105,Robbery,Business Property,7,Hammersmith and Fulham
1107,1107,201105,Robbery,Personal Property,83,Hammersmith and Fulham
1108,1108,201105,Sexual Offences,Rape,5,Hammersmith and Fulham
1109,1109,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,126,Hammersmith and Fulham
1110,1110,201105,Drugs,Possession Of Drugs,119,Hammersmith and Fulham
1111,1111,201105,Sexual Offences,Other Sexual,10,Hammersmith and Fulham
1112,1112,201105,Drugs,Other Drugs,3,Hammersmith and Fulham
1113,1113,201105,Theft & Handling,Theft From Shops,73,Hackney
1114,1114,201105,Theft & Handling,Other Theft,434,Hackney
1115,1115,201105,Violence Against The Person,Harassment,120,Hackney
1116,1116,201105,Fraud & Forgery,Counted Per Victim,47,Hackney
1117,1117,201105,Violence Against The Person,Offensive Weapon,16,Hackney
1118,1118,201105,Burglary,Burglary In Other Buildings,101,Hackney
1119,1119,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,84,Hackney
1120,1120,201105,Criminal Damage,Criminal Damage To Motor Vehicle,66,Hackney
1121,1121,201105,Drugs,Possession Of Drugs,158,Hackney
1122,1122,201105,Sexual Offences,Other Sexual,12,Hackney
1123,1123,201105,Drugs,Other Drugs,2,Hackney
1124,1124,201105,Sexual Offences,Rape,18,Hackney
1125,1125,201105,Theft & Handling,Theft From Motor Vehicle,172,Hackney
1126,1126,201105,Violence Against The Person,Common Assault,130,Hackney
1127,1127,201105,Drugs,Drug Trafficking,14,Hackney
1128,1128,201105,Violence Against The Person,Assault With Injury,161,Hackney
1129,1129,201105,Theft & Handling,Motor Vehicle Interference & Tampering,14,Hackney
1130,1130,201105,Other Notifiable Offences,Going Equipped,1,Hackney
1131,1131,201105,Violence Against The Person,Wounding/GBH,20,Hackney
1132,1132,201105,Theft & Handling,Handling Stolen Goods,6,Hackney
1133,1133,201105,Robbery,Personal Property,124,Hackney
1134,1134,201105,Burglary,Burglary In A Dwelling,112,Hackney
1135,1135,201105,Robbery,Business Property,10,Hackney
1136,1136,201105,Criminal Damage,Criminal Damage To Dwelling,53,Hackney
1137,1137,201105,Other Notifiable Offences,Other Notifiable,29,Hackney
1138,1138,201105,Criminal Damage,Other Criminal Damage,55,Hackney
1139,1139,201105,Theft & Handling,Theft Person,232,Hackney
1140,1140,201105,Criminal Damage,Criminal Damage To Other Building,31,Hackney
1141,1141,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,196,Hackney
1142,1142,201105,Violence Against The Person,Other Violence,15,Hackney
1143,1143,201105,Fraud & Forgery,Other Fraud & Forgery,23,Hackney
1144,1144,201105,Criminal Damage,Criminal Damage To Dwelling,64,Tower Hamlets
1145,1145,201105,Violence Against The Person,Offensive Weapon,13,Tower Hamlets
1146,1146,201105,Burglary,Burglary In A Dwelling,138,Tower Hamlets
1147,1147,201105,Robbery,Business Property,14,Tower Hamlets
1148,1148,201105,Violence Against The Person,Wounding/GBH,54,Tower Hamlets
1149,1149,201105,Robbery,Personal Property,136,Tower Hamlets
1150,1150,201105,Criminal Damage,Other Criminal Damage,48,Tower Hamlets
1151,1151,201105,Violence Against The Person,Other Violence,15,Tower Hamlets
1152,1152,201105,Violence Against The Person,Assault With Injury,166,Tower Hamlets
1153,1153,201105,Other Notifiable Offences,Other Notifiable,39,Tower Hamlets
1154,1154,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,134,Tower Hamlets
1155,1155,201105,Theft & Handling,Theft Person,134,Tower Hamlets
1156,1156,201105,Fraud & Forgery,Other Fraud & Forgery,37,Tower Hamlets
1157,1157,201105,Criminal Damage,Criminal Damage To Motor Vehicle,87,Tower Hamlets
1158,1158,201105,Sexual Offences,Other Sexual,30,Tower Hamlets
1159,1159,201105,Theft & Handling,Motor Vehicle Interference & Tampering,7,Tower Hamlets
1160,1160,201105,Theft & Handling,Theft From Motor Vehicle,191,Tower Hamlets
1161,1161,201105,Drugs,Drug Trafficking,14,Tower Hamlets
1162,1162,201105,Violence Against The Person,Common Assault,181,Tower Hamlets
1163,1163,201105,Sexual Offences,Rape,10,Tower Hamlets
1164,1164,201105,Criminal Damage,Criminal Damage To Other Building,28,Tower Hamlets
1165,1165,201105,Theft & Handling,Handling Stolen Goods,6,Tower Hamlets
1166,1166,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,94,Tower Hamlets
1167,1167,201105,Burglary,Burglary In Other Buildings,128,Tower Hamlets
1168,1168,201105,Fraud & Forgery,Counted Per Victim,85,Tower Hamlets
1169,1169,201105,Drugs,Possession Of Drugs,176,Tower Hamlets
1170,1170,201105,Violence Against The Person,Harassment,155,Tower Hamlets
1171,1171,201105,Theft & Handling,Other Theft,405,Tower Hamlets
1172,1172,201105,Theft & Handling,Theft From Shops,88,Tower Hamlets
1173,1173,201105,Other Notifiable Offences,Going Equipped,2,Tower Hamlets
1174,1174,201105,Violence Against The Person,Murder,1,Tower Hamlets
1175,1175,201105,Drugs,Possession Of Drugs,98,Waltham Forest
1176,1176,201105,Fraud & Forgery,Counted Per Victim,67,Waltham Forest
1177,1177,201105,Theft & Handling,Theft From Shops,103,Waltham Forest
1178,1178,201105,Violence Against The Person,Harassment,116,Waltham Forest
1179,1179,201105,Other Notifiable Offences,Going Equipped,1,Waltham Forest
1180,1180,201105,Theft & Handling,Other Theft,287,Waltham Forest
1181,1181,201105,Theft & Handling,Motor Vehicle Interference & Tampering,17,Waltham Forest
1182,1182,201105,Drugs,Drug Trafficking,10,Waltham Forest
1183,1183,201105,Theft & Handling,Theft From Motor Vehicle,282,Waltham Forest
1184,1184,201105,Sexual Offences,Rape,10,Waltham Forest
1185,1185,201105,Robbery,Personal Property,140,Waltham Forest
1186,1186,201105,Burglary,Burglary In Other Buildings,69,Waltham Forest
1187,1187,201105,Criminal Damage,Criminal Damage To Motor Vehicle,84,Waltham Forest
1188,1188,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,205,Waltham Forest
1189,1189,201105,Theft & Handling,Handling Stolen Goods,5,Waltham Forest
1190,1190,201105,Criminal Damage,Criminal Damage To Other Building,12,Waltham Forest
1191,1191,201105,Violence Against The Person,Offensive Weapon,15,Waltham Forest
1192,1192,201105,Robbery,Business Property,7,Waltham Forest
1193,1193,201105,Theft & Handling,Theft Person,51,Waltham Forest
1194,1194,201105,Criminal Damage,Criminal Damage To Dwelling,60,Waltham Forest
1195,1195,201105,Violence Against The Person,Wounding/GBH,29,Waltham Forest
1196,1196,201105,Sexual Offences,Other Sexual,24,Waltham Forest
1197,1197,201105,Burglary,Burglary In A Dwelling,205,Waltham Forest
1198,1198,201105,Other Notifiable Offences,Other Notifiable,26,Waltham Forest
1199,1199,201105,Violence Against The Person,Other Violence,15,Waltham Forest
1200,1200,201105,Violence Against The Person,Common Assault,105,Waltham Forest
1201,1201,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,72,Waltham Forest
1202,1202,201105,Criminal Damage,Other Criminal Damage,45,Waltham Forest
1203,1203,201105,Violence Against The Person,Assault With Injury,183,Waltham Forest
1204,1204,201105,Fraud & Forgery,Other Fraud & Forgery,38,Waltham Forest
1205,1205,201105,Criminal Damage,Other Criminal Damage,43,Redbridge
1206,1206,201105,Violence Against The Person,Harassment,93,Redbridge
1207,1207,201105,Other Notifiable Offences,Going Equipped,2,Redbridge
1208,1208,201105,Burglary,Burglary In A Dwelling,193,Redbridge
1209,1209,201105,Fraud & Forgery,Other Fraud & Forgery,27,Redbridge
1210,1210,201105,Drugs,Drug Trafficking,9,Redbridge
1211,1211,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,170,Redbridge
1212,1212,201105,Burglary,Burglary In Other Buildings,53,Redbridge
1213,1213,201105,Criminal Damage,Criminal Damage To Motor Vehicle,113,Redbridge
1214,1214,201105,Robbery,Personal Property,113,Redbridge
1215,1215,201105,Theft & Handling,Theft Person,59,Redbridge
1216,1216,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,34,Redbridge
1217,1217,201105,Other Notifiable Offences,Other Notifiable,29,Redbridge
1218,1218,201105,Violence Against The Person,Assault With Injury,115,Redbridge
1219,1219,201105,Theft & Handling,Motor Vehicle Interference & Tampering,32,Redbridge
1220,1220,201105,Robbery,Business Property,15,Redbridge
1221,1221,201105,Violence Against The Person,Offensive Weapon,4,Redbridge
1222,1222,201105,Violence Against The Person,Wounding/GBH,12,Redbridge
1223,1223,201105,Criminal Damage,Criminal Damage To Other Building,14,Redbridge
1224,1224,201105,Violence Against The Person,Other Violence,12,Redbridge
1225,1225,201105,Theft & Handling,Theft From Motor Vehicle,265,Redbridge
1226,1226,201105,Sexual Offences,Other Sexual,13,Redbridge
1227,1227,201105,Theft & Handling,Other Theft,224,Redbridge
1228,1228,201105,Fraud & Forgery,Counted Per Victim,117,Redbridge
1229,1229,201105,Sexual Offences,Rape,5,Redbridge
1230,1230,201105,Violence Against The Person,Common Assault,78,Redbridge
1231,1231,201105,Criminal Damage,Criminal Damage To Dwelling,50,Redbridge
1232,1232,201105,Theft & Handling,Handling Stolen Goods,4,Redbridge
1233,1233,201105,Drugs,Possession Of Drugs,184,Redbridge
1234,1234,201105,Theft & Handling,Theft From Shops,95,Redbridge
1235,1235,201105,Violence Against The Person,Common Assault,61,Havering
1236,1236,201105,Other Notifiable Offences,Other Notifiable,17,Havering
1237,1237,201105,Fraud & Forgery,Other Fraud & Forgery,11,Havering
1238,1238,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,102,Havering
1239,1239,201105,Criminal Damage,Criminal Damage To Other Building,21,Havering
1240,1240,201105,Drugs,Possession Of Drugs,75,Havering
1241,1241,201105,Violence Against The Person,Wounding/GBH,20,Havering
1242,1242,201105,Robbery,Business Property,5,Havering
1243,1243,201105,Burglary,Burglary In A Dwelling,158,Havering
1244,1244,201105,Theft & Handling,Theft Person,41,Havering
1245,1245,201105,Criminal Damage,Other Criminal Damage,44,Havering
1246,1246,201105,Drugs,Drug Trafficking,11,Havering
1247,1247,201105,Criminal Damage,Criminal Damage To Dwelling,41,Havering
1248,1248,201105,Theft & Handling,Handling Stolen Goods,1,Havering
1249,1249,201105,Criminal Damage,Criminal Damage To Motor Vehicle,64,Havering
1250,1250,201105,Violence Against The Person,Offensive Weapon,4,Havering
1251,1251,201105,Theft & Handling,Theft From Motor Vehicle,130,Havering
1252,1252,201105,Violence Against The Person,Assault With Injury,107,Havering
1253,1253,201105,Sexual Offences,Rape,4,Havering
1254,1254,201105,Sexual Offences,Other Sexual,13,Havering
1255,1255,201105,Other Notifiable Offences,Going Equipped,2,Havering
1256,1256,201105,Theft & Handling,Motor Vehicle Interference & Tampering,12,Havering
1257,1257,201105,Robbery,Personal Property,47,Havering
1258,1258,201105,Burglary,Burglary In Other Buildings,74,Havering
1259,1259,201105,Violence Against The Person,Other Violence,13,Havering
1260,1260,201105,Violence Against The Person,Harassment,86,Havering
1261,1261,201105,Theft & Handling,Other Theft,202,Havering
1262,1262,201105,Fraud & Forgery,Counted Per Victim,68,Havering
1263,1263,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,24,Havering
1264,1264,201105,Theft & Handling,Theft From Shops,116,Havering
1265,1265,201105,Drugs,Drug Trafficking,10,Newham
1266,1266,201105,Fraud & Forgery,Counted Per Victim,107,Newham
1267,1267,201105,Violence Against The Person,Other Violence,25,Newham
1268,1268,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,39,Newham
1269,1269,201105,Robbery,Personal Property,236,Newham
1270,1270,201105,Burglary,Burglary In Other Buildings,116,Newham
1271,1271,201105,Theft & Handling,Other Theft,277,Newham
1272,1272,201105,Criminal Damage,Criminal Damage To Dwelling,68,Newham
1273,1273,201105,Theft & Handling,Handling Stolen Goods,2,Newham
1274,1274,201105,Violence Against The Person,Harassment,113,Newham
1275,1275,201105,Theft & Handling,Theft From Shops,115,Newham
1276,1276,201105,Criminal Damage,Other Criminal Damage,61,Newham
1277,1277,201105,Theft & Handling,Motor Vehicle Interference & Tampering,27,Newham
1278,1278,201105,Other Notifiable Offences,Going Equipped,2,Newham
1279,1279,201105,Violence Against The Person,Wounding/GBH,36,Newham
1280,1280,201105,Criminal Damage,Criminal Damage To Motor Vehicle,83,Newham
1281,1281,201105,Violence Against The Person,Offensive Weapon,20,Newham
1282,1282,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,176,Newham
1283,1283,201105,Theft & Handling,Theft Person,116,Newham
1284,1284,201105,Fraud & Forgery,Other Fraud & Forgery,45,Newham
1285,1285,201105,Theft & Handling,Theft From Motor Vehicle,379,Newham
1286,1286,201105,Other Notifiable Offences,Other Notifiable,36,Newham
1287,1287,201105,Sexual Offences,Rape,13,Newham
1288,1288,201105,Violence Against The Person,Common Assault,180,Newham
1289,1289,201105,Violence Against The Person,Assault With Injury,194,Newham
1290,1290,201105,Robbery,Business Property,6,Newham
1291,1291,201105,Criminal Damage,Criminal Damage To Other Building,18,Newham
1292,1292,201105,Sexual Offences,Other Sexual,18,Newham
1293,1293,201105,Burglary,Burglary In A Dwelling,166,Newham
1294,1294,201105,Drugs,Possession Of Drugs,180,Newham
1295,1295,201105,Drugs,Drug Trafficking,6,Barking and Dagenham
1296,1296,201105,Violence Against The Person,Assault With Injury,152,Barking and Dagenham
1297,1297,201105,Theft & Handling,Handling Stolen Goods,1,Barking and Dagenham
1298,1298,201105,Criminal Damage,Criminal Damage To Dwelling,56,Barking and Dagenham
1299,1299,201105,Burglary,Burglary In Other Buildings,44,Barking and Dagenham
1300,1300,201105,Theft & Handling,Motor Vehicle Interference & Tampering,14,Barking and Dagenham
1301,1301,201105,Violence Against The Person,Harassment,80,Barking and Dagenham
1302,1302,201105,Other Notifiable Offences,Other Notifiable,33,Barking and Dagenham
1303,1303,201105,Criminal Damage,Criminal Damage To Motor Vehicle,90,Barking and Dagenham
1304,1304,201105,Fraud & Forgery,Other Fraud & Forgery,20,Barking and Dagenham
1305,1305,201105,Violence Against The Person,Other Violence,25,Barking and Dagenham
1306,1306,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,139,Barking and Dagenham
1307,1307,201105,Theft & Handling,Theft Person,26,Barking and Dagenham
1308,1308,201105,Criminal Damage,Other Criminal Damage,51,Barking and Dagenham
1309,1309,201105,Violence Against The Person,Offensive Weapon,15,Barking and Dagenham
1310,1310,201105,Violence Against The Person,Wounding/GBH,21,Barking and Dagenham
1311,1311,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,20,Barking and Dagenham
1312,1312,201105,Violence Against The Person,Common Assault,87,Barking and Dagenham
1313,1313,201105,Robbery,Business Property,5,Barking and Dagenham
1314,1314,201105,Theft & Handling,Other Theft,170,Barking and Dagenham
1315,1315,201105,Drugs,Possession Of Drugs,103,Barking and Dagenham
1316,1316,201105,Burglary,Burglary In A Dwelling,150,Barking and Dagenham
1317,1317,201105,Criminal Damage,Criminal Damage To Other Building,17,Barking and Dagenham
1318,1318,201105,Sexual Offences,Rape,9,Barking and Dagenham
1319,1319,201105,Fraud & Forgery,Counted Per Victim,80,Barking and Dagenham
1320,1320,201105,Robbery,Personal Property,86,Barking and Dagenham
1321,1321,201105,Theft & Handling,Theft From Motor Vehicle,156,Barking and Dagenham
1322,1322,201105,Drugs,Other Drugs,2,Barking and Dagenham
1323,1323,201105,Sexual Offences,Other Sexual,21,Barking and Dagenham
1324,1324,201105,Theft & Handling,Theft From Shops,65,Barking and Dagenham
1325,1325,201105,Theft & Handling,Theft/Taking Of Pedal Cycle,141,Lambeth
1326,1326,201105,Drugs,Other Drugs,2,Lambeth
1327,1327,201105,Sexual Offences,Other Sexual,37,Lambeth
1328,1328,201105,Violence Against The Person,Offensive Weapon,25,Lambeth
1329,1329,201105,Sexual Offences,Rape,22,Lambeth
1330,1330,201105,Theft & Handling,Theft From Motor Vehicle,223,Lambeth
1331,1331,201105,Theft & Handling,Theft From Shops,50,Lambeth
1332,1332,201105,Other Notifiable Offences,Other Notifiable,34,Lambeth
1333,1333,201105,Theft & Handling,Theft Person,254,Lambeth
1334,1334,201105,Fraud & Forgery,Counted Per Victim,50,Lambeth
1335,1335,201105,Violence Against The Person,Harassment,122,Lambeth
1336,1336,201105,Burglary,Burglary In A Dwelling,238,Lambeth
1337,1337,201105,Drugs,Possession Of Drugs,241,Lambeth
1338,1338,201105,Violence Against The Person,Murder,2,Lambeth
1339,1339,201105,Violence Against The Person,Wounding/GBH,49,Lambeth
1340,1340,201105,Other Notifiable Offences,Going Equipped,1,Lambeth
1341,1341,201105,Robbery,Business Property,20,Lambeth
1342,1342,201105,Theft & Handling,Other Theft,478,Lambeth
1343,1343,201105,Robbery,Personal Property,268,Lambeth
1344,1344,201105,Fraud & Forgery,Other Fraud & Forgery,39,Lambeth
1345,1345,201105,Theft & Handling,Theft/Taking Of Motor Vehicle,81,Lambeth
1346,1346,201105,Criminal Damage,Criminal Damage To Dwelling,90,Lambeth
1347,1347,201105,Burglary,Burglary In Other Buildings,97,Lambeth
1348,1348,201105,Criminal Damage,Criminal Damage To Motor Vehicle,89,Lambeth
1349,1349,201105,Drugs,Drug Trafficking,20,Lambeth
1350,1350,201105,Violence Against The Person,Common Assault,164,Lambeth
1351,1351,201105,Violence Against The Person,Assault With Injury,195,Lambeth
1352,1352,201105,Theft & Handling,Motor Vehicle Interference & Tampering,9,Lambeth
1353,1353,201105,Violence Against The Person,Other Violence,23,Lambeth
1354,1354,201105,Criminal Damage,Criminal Damage To Other Building,23,Lambeth
1355,1355,201105,Theft & Handling,Handling Stolen Goods,9,Lambeth
1356,1356,201105,Criminal Damage,Other Criminal Damage,54,Lambeth
1357,1357,201105,Other Notifiable Offences,Other Notifiable,43,Southwark
1358,1358,201105,Burglary,Burglary In A Dwelling,162,Southwark
1359,1359,201105,Drugs,Possession Of Drugs,318,Southwark
1360,1360,201105,Violence Against The Person,Wounding/GBH,44,Southwark
1361,1361,201105,Criminal Damage,Criminal Damage To Other Building,31,Southwark
1362,1362,201105,Theft & Handling,Theft Person,188,Southwark
1363,1363,201105,Criminal Damage,Other Criminal Damage,73,Southwark
1364,1364,201105,Violence Against The Person,Common Assault,173,Southwark
1365,1365,201105,Fraud & Forgery,Other Fraud & Forgery,30,Southwark
1366,1366,201105,Sexual Offences,Other Sexual,29,Southwark
1367,1367,201105,Sexual Offences,Rape,24,Southwark
